CustomerID,PersonType,Title,FirstName,MiddleName,LastName,EmailPromotion,PersonID
1,SC,Mr.,Gustavo,NULL,Achong,2,285
2,SC,Ms.,Catherine,R.,Abel,1,286
3,SC,Ms.,Kim,NULL,Abercrombie,0,287
4,SC,Sr.,Humberto,NULL,Acevedo,2,288
5,SC,Ms.,Frances,B.,Adams,1,289
6,SC,Ms.,Margaret,J.,Smith,0,290
7,SC,Ms.,Carla,J.,Adams,0,291
8,SC,Mr.,Jay,NULL,Adams,1,292
9,SC,Mr.,Ronald,L.,Adina,0,293
10,SC,Mr.,Robert,E.,Ahlering,0,294
11,SC,Mr.,François,NULL,Ferrier,1,295
12,SC,Ms.,Kim,NULL,Akers,2,296
13,SC,Ms.,Anna,A.,Albright,1,297
14,SC,Mr.,Milton,J.,Albury,0,298
15,SC,Mr.,Paul,L.,Alcorn,1,299
16,SC,Mr.,J. Phillip,L.,Alexander,1,300
17,SC,Ms.,Michelle,NULL,Alexander,2,301
18,SC,Mr.,Sean,P.,Jacobson,2,302
19,SC,Ms.,Phyllis,A.,Allen,1,303
20,SC,Mr.,Marvin,N.,Allen,0,304
21,SC,Mr.,Michael,NULL,Allen,2,305
22,SC,Mr.,Oscar,L.,Alpuerto,1,306
23,SC,Ms.,Selena,R.,Alvarado,0,307
24,SC,Mr.,Emilio,R.,Alvaro,1,308
25,SC,Ms.,Ramona,J.,Antrim,0,309
26,SC,Ms.,Sabria,B.,Appelbaum,0,310
27,SC,Ms.,Hannah,R.,Arakawa,0,311
28,SC,Ms.,Kyley,J.,Arbelaez,1,312
29,SC,Mr.,Tom,H,Johnston,1,313
30,SC,Mr.,Thomas,B.,Armstrong,0,314
31,SC,Mr.,John,NULL,Arthur,0,315
32,SC,Mr.,Chris,NULL,Ashton,1,316
33,SC,Ms.,Teresa,NULL,Atkinson,0,317
34,SC,Mr.,Stephen,M.,Ayers,0,318
35,SC,Mr.,Cory,K.,Booth,1,319
36,SC,Mr.,James,B.,Bailey,0,320
37,SC,Mr.,Douglas,A.,Baldwin,0,321
38,SC,Ms.,Jennifer,B.,Bales,1,322
39,SC,Mr.,Wayne,N.,Banack,2,324
40,SC,Mr.,Robert,L.,Barker,0,328
41,SC,Mr.,Adam,NULL,Barr,1,329
42,SC,Ms.,Karel,E.,Bates,1,330
43,SC,Mr.,John,A.,Beaver,0,332
44,SC,Mr.,Shane,J.,Belli,1,333
45,SC,Mr.,Stanley,A.,Alan,0,334
46,SC,Mr.,Mason,NULL,Bendixen,0,335
47,SC,Ms.,Edna,J.,Benson,0,337
48,SC,Mr.,Payton,P.,Benson,0,338
49,SC,Mr.,Max,NULL,Benson,0,339
50,SC,Mr.,Robert,M.,Bernacchi,1,345
51,SC,Mr.,Matthias,NULL,Berndt,1,346
52,SC,Mr.,John,NULL,Berry,0,347
53,SC,Mr.,Steven,B.,Brown,0,348
54,SC,Mr.,Chris,N.,Bidelman,0,349
55,SC,Mr.,Jimmy,NULL,Bischoff,1,350
56,SC,Ms.,Mae,M.,Black,2,352
57,SC,Mr.,Donald,L.,Blanton,0,353
58,SC,Ms.,Linda,E.,Burnett,2,354
59,SC,Mr.,Michael,Greg,Blythe,0,355
60,SC,Ms.,Gabriel,L.,Bockenkamp,0,356
61,SC,Ms.,Corinna,NULL,Bolender,0,357
62,SC,Sr.,Luis,NULL,Bonifaz,2,358
63,SC,Mr.,Randall,NULL,Boseman,2,359
64,SC,Mr.,David,M.,Bradley,1,360
65,SC,Mr.,Cornelius,L.,Brandon,0,361
66,SC,Mr.,Richard,NULL,Bready,0,362
67,SC,Ms.,Sara,N.,Breer,0,363
68,SC,Mr.,Ted,NULL,Bremer,1,364
69,SC,Mr.,Alan,NULL,Brewer,1,365
70,SC,Mr.,Walter,J.,Brian,1,366
71,SC,Mr.,Christopher,M.,Bright,0,367
72,SC,Mr.,Willie,P.,Brooks,2,369
73,SC,Mr.,Jo,NULL,Brown,1,370
